w_um,l_um,metric_name,target_value,simulated_value,relative_error
2.7,0.028,vtsat_v,0.307203664428,0.320282,0.04257219911862476
2.7,0.028,idlin_a,0.000342714261028,0.00034718,0.013030502315849523
2.7,0.028,idsat_a,0.00673085805905,0.00684202,0.016515270411999905
2.7,0.028,idoff_a,8.17226206602e-12,8.25092e-12,0.009624989182255558
2.7,0.028,isoff_a,6.3987447666e-12,6.45092e-12,0.00815397946052529
2.7,0.056,vtlin_v,0.612625823474,0.600652,0.019545084479299906
2.7,0.056,vtsat_v,0.505556164222,0.48539,0.03988906801884952
2.7,0.056,idlin_a,0.000200394264872,0.000195164,0.026099873044474454
2.7,0.056,idsat_a,0.0025028378813,0.00250373,0.0003564428629858788
2.7,0.056,idoff_a,1.8126123908e-12,1.80741e-12,0.0028701066076811895
2.7,0.056,isoff_a,7.71282833433e-15,7.40547e-15,0.03985027554184508
2.7,0.14,vtlin_v,0.420060771806,0.436422,0.038949669410111507
2.7,0.14,vtsat_v,0.410318685698,0.394344,0.038932386593179956
2.7,0.14,idlin_a,0.000119203123708,0.000120713,0.012666415485038718
2.7,0.14,idsat_a,0.00149080096594,0.0014517,0.026228159783452807
2.7,0.14,idoff_a,1.87956234738e-12,1.89891e-12,0.010293700896365231
2.7,0.14,isoff_a,9.69895372967e-14,9.89125e-14,0.019826496309776925
2.7,0.28,vtlin_v,0.32670424252,0.340754,0.04300451494485839
2.7,0.28,vtsat_v,0.325825826121,0.312149,0.0419758810522309
2.7,0.28,idlin_a,8.17216973585e-05,8.18204e-05,0.0012077899100284434
2.7,0.28,idsat_a,0.000958580963112,0.000961705,0.0032590224594675034
2.7,0.28,idoff_a,2.84735917043e-12,2.72694e-12,0.04229152812211413
2.7,0.28,isoff_a,8.87965446994e-13,9.26937e-13,0.04388859176663807
2.7,0.56,vtlin_v,0.291552826671,0.295872,0.01481437644874537
2.7,0.56,vtsat_v,0.268666246272,0.27206,0.012631857462899092
2.7,0.56,idlin_a,4.99254784126e-05,5.14333e-05,0.030201444940374574
2.7,0.56,idsat_a,0.000615536964726,0.000620027,0.007294501437454166
2.7,0.56,idoff_a,3.88431380956e-12,4.00335e-12,0.03064535881396345
2.7,0.56,isoff_a,2.27348401894e-12,2.20335e-12,0.030848696694468013
2.7,1.5,vtlin_v,0.265125442414,0.271775,0.02508079769883627
2.7,1.5,vtsat_v,0.257416728746,0.253044,0.01698696416235916
2.7,1.5,idlin_a,2.3615864223e-05,2.35366e-05,0.0033563973035889406
2.7,1.5,idsat_a,0.00027392738181,0.000270392,0.012906273869518417
2.7,1.5,idoff_a,3.40747388631e-12,3.43336e-12,0.007596863410751501
2.7,1.5,isoff_a,1.59346612347e-12,1.63336e-12,0.025035911302039693
2.7,2.7,vtlin_v,0.288835131451,0.277923,0.03777979290878339
2.7,2.7,vtsat_v,0.251699555199,0.26064,0.035520304332407104
2.7,2.7,idlin_a,1.43415861016e-05,1.47496e-05,0.02844970531916837
2.7,2.7,idsat_a,0.000163454401447,0.00016672,0.019978651685674448
2.7,2.7,idoff_a,2.52767610748e-12,2.54157e-12,0.0054967060371716595
2.7,2.7,isoff_a,7.70686711109e-13,7.41573e-13,0.03777632426943773
5.4,0.028,vtlin_v,0.525302185781,0.540201,0.028362368599036132
5.4,0.028,vtsat_v,0.30749315197,0.310625,0.010185098464584826
5.4,0.028,idlin_a,0.00079405239367,0.000776427,0.022196764105877016
5.4,0.028,idsat_a,0.0153614349993,0.0152663,0.0061931062628156645
5.4,0.028,idoff_a,2.2024231878e-11,2.15401e-11,0.021981782642036134
5.4,0.028,isoff_a,1.91933328275e-11,1.97401e-11,0.028487349092211817
5.4,0.056,vtlin_v,0.577103451371,0.586276,0.01589411501041821
5.4,0.056,vtsat_v,0.463580436747,0.471979,0.01811673355315361
