w_um,l_um,metric_name,target_value,simulated_value,relative_error
1.5,0.028,idoff_a,3.5147306477e-12,3.64e-12,0.035641238221760956
1.5,0.028,isoff_a,1.80426613579e-12,1.84e-12,0.01980520694878187
1.5,0.056,vtlin_v,0.612212903842,0.612987,0.0012644231330996695
1.5,0.056,vtsat_v,0.474551911022,0.495663,0.04448636384697082
1.5,0.056,idlin_a,9.4162819186e-05,9.7264e-05,0.03293423923379175
1.5,0.056,idsat_a,0.00131948752202,0.00126111,0.04424257224549575
1.5,0.056,idoff_a,1.8811071109e-12,1.8028e-12,0.04162820418159736
1.5,0.056,isoff_a,2.81896857247e-15,2.8029e-15,0.005700160202893202
1.5,0.14,vtlin_v,0.446992238857,0.449241,0.005030872904527999
1.5,0.14,vtsat_v,0.398718360312,0.405012,0.015784674884485355
1.5,0.14,idlin_a,6.34614643886e-05,6.15962e-05,0.029392079217999714
1.5,0.14,idsat_a,0.000707176846631,0.000732162,0.035330841907550495
1.5,0.14,idoff_a,1.77656212951e-12,1.83287e-12,0.031694850157326336
1.5,0.14,isoff_a,3.23320453456e-14,3.28675e-14,0.016561112935370468
1.5,0.28,vtlin_v,0.356373509737,0.354037,0.006556350775691278
1.5,0.28,vtsat_v,0.33464600931,0.324173,0.031295784257502714
1.5,0.28,idlin_a,4.15412385789e-05,4.0572e-05,0.023331961493134316
1.5,0.28,idsat_a,0.000495386565141,0.000486525,0.01788818220873172
1.5,0.28,idoff_a,2.16668744653e-12,2.13705e-12,0.01367869028708548
1.5,0.28,isoff_a,3.32451694292e-13,3.37048e-13,0.013825484384396005
1.5,0.56,vtlin_v,0.301315614128,0.307863,0.02172932820274835
1.5,0.56,vtsat_v,0.286979108432,0.284444,0.008833773461250739
1.5,0.56,idlin_a,2.57368947482e-05,2.48446e-05,0.034669868176789485
1.5,0.56,idsat_a,0.000300690878359,0.000294364,0.021041138306318225
1.5,0.56,idoff_a,2.60865741194e-12,2.58719e-12,0.008229295208233239
1.5,0.56,isoff_a,7.69883311571e-13,7.87195e-13,0.022486119868833483
1.5,1.5,vtlin_v,0.2881315453,0.287156,0.0033857636066341235
1.5,1.5,vtsat_v,0.272279577031,0.268569,0.013627819873458636
1.5,1.5,idlin_a,1.18335144998e-05,1.15947e-05,0.02018119805439342
1.5,1.5,idsat_a,0.000130684442134,0.000134417,0.028561608444352894
1.5,1.5,idoff_a,2.27070062404e-12,2.33734e-12,0.029347495330069546
1.5,1.5,isoff_a,5.2948738533e-13,5.37341e-13,0.014832486830834029
1.5,2.7,vtlin_v,0.286861140718,0.287368,0.0017669151030054472
1.5,2.7,vtsat_v,0.274494670473,0.270264,0.015412577831510791
1.5,2.7,idlin_a,7.54050206438e-06,7.30389e-06,0.03137882098033152
1.5,2.7,idsat_a,8.17301041559e-05,8.38696e-05,0.02617757393308723
1.5,2.7,idoff_a,2.06427098413e-12,2.06859e-12,0.002092271752693502
1.5,2.7,isoff_a,2.66468221552e-13,2.68593e-13,0.007973853075704676
2.7,0.028,vtlin_v,0.583276238212,0.566576,0.02863178219499167
2.7,0.028,vtsat_v,0.307203664428,0.318542,0.03690820418145556
2.7,0.028,idlin_a,0.000342714261028,0.000338818,0.011368832497115277
2.7,0.028,idsat_a,0.00673085805905,0.0067608,0.004448458233306693
2.7,0.028,idoff_a,8.17226206602e-12,8.23778e-12,0.00801711122951151
2.7,0.028,isoff_a,6.3987447666e-12,6.43778e-12,0.006100451701676725
2.7,0.056,vtlin_v,0.612625823474,0.603824,0.014367372606149191
2.7,0.056,vtsat_v,0.505556164222,0.487192,0.03632467670582276
