corner_name,w_um,l_um,parameter_name,metric_name,sensitivity
w_min_l_max,0.14,2.7,voff,idoff_a,-1.8999999999999717e-13
w_min_l_max,0.14,2.7,voff,isoff_a,-1.8993999999999997e-13
w_min_l_max,0.14,2.7,voff,vtlin_v,0.9526249999999986
w_min_l_max,0.14,2.7,voff,vtsat_v,1.0192499999999993
w_min_l_max,0.14,2.7,voff,idlin_a,0.0
w_min_l_max,0.14,2.7,voff,idsat_a,0.0
w_min_l_max,0.14,2.7,k2,idoff_a,-1.9999999999832298e-15
w_min_l_max,0.14,2.7,k2,isoff_a,-3.0239999999998693e-15
w_min_l_max,0.14,2.7,k2,vtlin_v,0.014400000000003299
w_min_l_max,0.14,2.7,k2,vtsat_v,0.017599999999995397
w_min_l_max,0.14,2.7,k2,idlin_a,-7.999999999998483e-09
w_min_l_max,0.14,2.7,k2,idsat_a,-2.89400000000001e-06
w_min_l_max,0.14,2.7,ub,idoff_a,-0.14383999999999972
w_min_l_max,0.14,2.7,ub,isoff_a,-0.14383631
w_min_l_max,0.14,2.7,ub,vtlin_v,95062000000.00002
w_min_l_max,0.14,2.7,ub,vtsat_v,94327000000.0
w_min_l_max,0.14,2.7,ub,idlin_a,-27810941.0
w_min_l_max,0.14,2.7,ub,idsat_a,-223320349.99999997
w_min_l_max,0.14,2.7,uc,idoff_a,0.0
w_min_l_max,0.14,2.7,uc,isoff_a,0.0
w_min_l_max,0.14,2.7,uc,vtlin_v,0.0
w_min_l_max,0.14,2.7,uc,vtsat_v,0.0
w_min_l_max,0.14,2.7,uc,idlin_a,0.0
w_min_l_max,0.14,2.7,uc,idsat_a,0.0
w_min_l_max,0.14,2.7,a0,idoff_a,-1.388888888888462e-15
w_min_l_max,0.14,2.7,a0,isoff_a,-1.2733333333333325e-15
w_min_l_max,0.14,2.7,a0,vtlin_v,0.00608333333333402
w_min_l_max,0.14,2.7,a0,vtsat_v,0.007416666666665603
w_min_l_max,0.14,2.7,a0,idlin_a,-3.361111111109775e-09
w_min_l_max,0.14,2.7,a0,idsat_a,-1.217222222222223e-06
w_min_l_max,0.14,2.7,keta,idoff_a,0.0
w_min_l_max,0.14,2.7,keta,isoff_a,0.0
w_min_l_max,0.14,2.7,keta,vtlin_v,0.0
w_min_l_max,0.14,2.7,keta,vtsat_v,0.0
w_min_l_max,0.14,2.7,keta,idlin_a,0.0
w_min_l_max,0.14,2.7,keta,idsat_a,0.0
w_max_l_min,5.4,0.028,toxe,idoff_a,0.4543666666666668
w_max_l_min,5.4,0.028,toxe,isoff_a,0.4543666666666668
w_max_l_min,5.4,0.028,toxe,vtlin_v,-509666666.66666764
w_max_l_min,5.4,0.028,toxe,vtsat_v,-592500000.0000006
w_max_l_min,5.4,0.028,toxe,idlin_a,982000.0000000031
w_max_l_min,5.4,0.028,toxe,idsat_a,23116666.66666672
w_max_l_min,5.4,0.028,vth0,idoff_a,-8.133615384615383e-10
w_max_l_min,5.4,0.028,vth0,isoff_a,-8.133615384615383e-10
w_max_l_min,5.4,0.028,vth0,vtlin_v,1.0797692307692281
w_max_l_min,5.4,0.028,vth0,vtsat_v,1.085307692307691
w_max_l_min,5.4,0.028,vth0,idlin_a,-0.0011013846153846095
w_max_l_min,5.4,0.028,vth0,idsat_a,-0.01922307692307685
w_max_l_min,5.4,0.028,u0,idoff_a,3.692000000000002e-14
w_max_l_min,5.4,0.028,u0,isoff_a,3.692000000000002e-14
w_max_l_min,5.4,0.028,u0,vtlin_v,-4.2466666666666576e-05
w_max_l_min,5.4,0.028,u0,vtsat_v,-4.513333333333591e-05
w_max_l_min,5.4,0.028,u0,idlin_a,9.67533333333338e-07
w_max_l_min,5.4,0.028,u0,idsat_a,2.009999999999998e-05
w_max_l_min,5.4,0.028,vsat,idoff_a,-1.2576923076923097e-17
w_max_l_min,5.4,0.028,vsat,isoff_a,-1.2576923076923097e-17
w_max_l_min,5.4,0.028,vsat,vtlin_v,-5.769230769225864e-09
w_max_l_min,5.4,0.028,vsat,vtsat_v,1.4230769230772787e-08
w_max_l_min,5.4,0.028,vsat,idlin_a,1.169230769230414e-10
w_max_l_min,5.4,0.028,vsat,idsat_a,6.69230769230798e-09
w_max_l_min,5.4,0.028,rdsw,idoff_a,1.7642857142857088e-14
w_max_l_min,5.4,0.028,rdsw,isoff_a,1.7642857142857088e-14
w_max_l_min,5.4,0.028,rdsw,vtlin_v,-2.1428571428553208e-06
w_max_l_min,5.4,0.028,rdsw,vtsat_v,-2.0142857142857462e-05
w_max_l_min,5.4,0.028,rdsw,idlin_a,-1.0241428571428589e-06
w_max_l_min,5.4,0.028,rdsw,idsat_a,-1.2128571428571514e-05
w_max_l_min,5.4,0.028,nfactor,idoff_a,1.2191666666666724e-11
w_max_l_min,5.4,0.028,nfactor,isoff_a,1.2191666666666724e-11
w_max_l_min,5.4,0.028,nfactor,vtlin_v,-4.166666666786482e-05
w_max_l_min,5.4,0.028,nfactor,vtsat_v,-0.004333333333333041
w_max_l_min,5.4,0.028,nfactor,idlin_a,0.0
w_max_l_min,5.4,0.028,nfactor,idsat_a,0.0
w_max_l_min,5.4,0.028,eta0,idoff_a,1.2951333333333331e-09
w_max_l_min,5.4,0.028,eta0,isoff_a,1.2951333333333331e-09
w_max_l_min,5.4,0.028,eta0,vtlin_v,-0.04233333333332941
w_max_l_min,5.4,0.028,eta0,vtsat_v,-1.7356666666666725
w_max_l_min,5.4,0.028,eta0,idlin_a,4.9000000000012575e-05
w_max_l_min,5.4,0.028,eta0,idsat_a,0.03090000000000037
w_max_l_min,5.4,0.028,cit,idoff_a,9.310344827586413e-09
w_max_l_min,5.4,0.028,cit,isoff_a,9.310344827586413e-09
w_max_l_min,5.4,0.028,cit,vtlin_v,0.0
w_max_l_min,5.4,0.028,cit,vtsat_v,-3.2758620689640088
w_max_l_min,5.4,0.028,cit,idlin_a,0.0
w_max_l_min,5.4,0.028,cit,idsat_a,0.0
w_max_l_min,5.4,0.028,voff,idoff_a,-7.451000000000001e-10
w_max_l_min,5.4,0.028,voff,isoff_a,-7.451000000000001e-10
w_max_l_min,5.4,0.028,voff,vtlin_v,0.8803749999999888
w_max_l_min,5.4,0.028,voff,vtsat_v,0.9924999999999934
w_max_l_min,5.4,0.028,voff,idlin_a,0.0
w_max_l_min,5.4,0.028,voff,idsat_a,0.0
w_max_l_min,5.4,0.028,k2,idoff_a,-1.840000000000404e-12
w_max_l_min,5.4,0.028,k2,isoff_a,-1.840000000000404e-12
w_max_l_min,5.4,0.028,k2,vtlin_v,0.002199999999996649
